METERHEAD;R_MF_9A_6P;R_MF_6P_10;R_SA_9A_6P;R_SA_6P_10;R_SU_9A_6P;R_SU_6P_10;RATE_MISC;TIMEINEFFE;T_MF_9A_6P;T_MF_6P_10;T_SA_9A_6P;T_SA_6P_10;T_SU_9A_6P;T_SU_6P_10;TIME_MISC;CREDITCARD;PAY_PHONE;Geom;Geo Local Area;METERID;geo_point_2d
Twin;$6.00;$2.00;$6.00;$2.00;$6.00;$2.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53200;"{""coordinates"": [-123.12906591602356, 49.263692393462016], ""type"": ""Point""}";Fairview;852419;49.263692393462016, -123.12906591602356
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;59946;"{""coordinates"": [-123.106676712144, 49.268882482968586], ""type"": ""Point""}";Mount Pleasant;761803;49.268882482968586, -123.106676712144
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50226;"{""coordinates"": [-123.11090496579997, 49.267183041708066], ""type"": ""Point""}";Mount Pleasant;782009;49.267183041708066, -123.11090496579997
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;50225;"{""coordinates"": [-123.10117695124202, 49.26726600021063], ""type"": ""Point""}";Mount Pleasant;A40114;49.26726600021063, -123.10117695124202
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;50225;"{""coordinates"": [-123.10218796967952, 49.267278963082056], ""type"": ""Point""}";Mount Pleasant;A40136;49.267278963082056, -123.10218796967952
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;52796;"{""coordinates"": [-123.10658704879489, 49.26679698376523], ""type"": ""Point""}";Mount Pleasant;762012;49.26679698376523, -123.10658704879489
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50238;"{""coordinates"": [-123.10675898859913, 49.266853045030494], ""type"": ""Point""}";Mount Pleasant;762007;49.266853045030494, -123.10675898859913
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50266;"{""coordinates"": [-123.10271997580001, 49.266707026253], ""type"": ""Point""}";Mount Pleasant;742010;49.266707026253, -123.10271997580001
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50334;"{""coordinates"": [-123.10722296381032, 49.26827799476099], ""type"": ""Point""}";Mount Pleasant;B30116;49.26827799476099, -123.10722296381032
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50046;"{""coordinates"": [-123.10611193880052, 49.26836897242209], ""type"": ""Point""}";Mount Pleasant;B30021;49.26836897242209, -123.10611193880052
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50090;"{""coordinates"": [-123.10951897452672, 49.26804304553026], ""type"": ""Point""}";Mount Pleasant;521915;49.26804304553026, -123.10951897452672
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50093;"{""coordinates"": [-123.10934194957174, 49.2678040308384], ""type"": ""Point""}";Mount Pleasant;521914;49.2678040308384, -123.10934194957174
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50003;"{""coordinates"": [-123.1093350043708, 49.26708703000983], ""type"": ""Point""}";Mount Pleasant;522016;49.26708703000983, -123.1093350043708
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50133;"{""coordinates"": [-123.10286603843139, 49.267739995048544], ""type"": ""Point""}";Mount Pleasant;741913;49.267739995048544, -123.10286603843139
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;52823;"{""coordinates"": [-123.10619403880388, 49.26825798619574], ""type"": ""Point""}";Mount Pleasant;B30020;49.26825798619574, -123.10619403880388
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50100;"{""coordinates"": [-123.1287575678214, 49.26355474202312], ""type"": ""Point""}";Fairview;301041;49.26355474202312, -123.1287575678214
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51584;"{""coordinates"": [-123.12763449529314, 49.2633093934962], ""type"": ""Point""}";Fairview;301012;49.2633093934962, -123.12763449529314
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52314;"{""coordinates"": [-123.12869575336458, 49.263346715766716], ""type"": ""Point""}";Fairview;301038;49.263346715766716, -123.12869575336458
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51172;"{""coordinates"": [-123.12993600178994, 49.26354900612918], ""type"": ""Point""}";Fairview;301113;49.26354900612918, -123.12993600178994
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51160;"{""coordinates"": [-123.1303012545635, 49.263555584067674], ""type"": ""Point""}";Fairview;301121;49.263555584067674, -123.1303012545635
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;50067;"{""coordinates"": [-123.10382305753491, 49.268216964041855], ""type"": ""Point""}";Mount Pleasant;A30018;49.268216964041855, -123.10382305753491
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;50081;"{""coordinates"": [-123.10207503524639, 49.268304965383244], ""type"": ""Point""}";Mount Pleasant;A30135;49.268304965383244, -123.10207503524639
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53087;"{""coordinates"": [-123.13066470518318, 49.263561515234684], ""type"": ""Point""}";Fairview;301129;49.263561515234684, -123.13066470518318
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;50144;"{""coordinates"": [-123.11131406304773, 49.26756197590515], ""type"": ""Point""}";Mount Pleasant;B40311;49.26756197590515, -123.11131406304773
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50202;"{""coordinates"": [-123.10396600448247, 49.26742696705705], ""type"": ""Point""}";Mount Pleasant;A40033;49.26742696705705, -123.10396600448247
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;50158;"{""coordinates"": [-123.1120770012998, 49.26746301078756], ""type"": ""Point""}";Mount Pleasant;B40336;49.26746301078756, -123.1120770012998
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50161;"{""coordinates"": [-123.10985695684117, 49.26753503561094], ""type"": ""Point""}";Mount Pleasant;B40215;49.26753503561094, -123.10985695684117
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;56637;"{""coordinates"": [-123.10732902038768, 49.2674890173113], ""type"": ""Point""}";Mount Pleasant;B40105;49.2674890173113, -123.10732902038768
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;50012;"{""coordinates"": [-123.10862297833661, 49.267398036000046], ""type"": ""Point""}";Mount Pleasant;B40138;49.267398036000046, -123.10862297833661
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;52822;"{""coordinates"": [-123.10540499859557, 49.267342997396895], ""type"": ""Point""}";Mount Pleasant;B40018;49.267342997396895, -123.10540499859557
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;10 Hrs;4 Hr;10 Hrs;4 Hr;10 Hrs;4 Hr;;Yes;52822;"{""coordinates"": [-123.10598797553679, 49.267353977957235], ""type"": ""Point""}";Mount Pleasant;B40032;49.267353977957235, -123.10598797553679
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;13 Hrs;Yes;54285;"{""coordinates"": [-123.10196002710568, 49.267393043684656], ""type"": ""Point""}";Mount Pleasant;A40137;49.267393043684656, -123.10196002710568
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52109;"{""coordinates"": [-123.10549153453019, 49.26292969165245], ""type"": ""Point""}";Mount Pleasant;300010;49.26292969165245, -123.10549153453019
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50095;"{""coordinates"": [-123.10636517425361, 49.262949939476414], ""type"": ""Point""}";Mount Pleasant;300028;49.262949939476414, -123.10636517425361
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51268;"{""coordinates"": [-123.10653932602445, 49.262954456530565], ""type"": ""Point""}";Mount Pleasant;300032;49.262954456530565, -123.10653932602445
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51626;"{""coordinates"": [-123.11006897214956, 49.263037052170155], ""type"": ""Point""}";Mount Pleasant;300208;49.263037052170155, -123.11006897214956
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51373;"{""coordinates"": [-123.11022660214101, 49.26304085978826], ""type"": ""Point""}";Mount Pleasant;300212;49.26304085978826, -123.11022660214101
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;54702;"{""coordinates"": [-123.15362900443589, 49.23465101476623], ""type"": ""Point""}";Shaughnessy;K12027;49.23465101476623, -123.15362900443589
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56024;"{""coordinates"": [-123.14900987099128, 49.26385784162811], ""type"": ""Point""}";Kitsilano;301915;49.26385784162811, -123.14900987099128
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56007;"{""coordinates"": [-123.14918569865375, 49.2638596746366], ""type"": ""Point""}";Kitsilano;301919;49.2638596746366, -123.14918569865375
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54547;"{""coordinates"": [-123.11875197036896, 49.26319243671283], ""type"": ""Point""}";Fairview;300626;49.26319243671283, -123.11875197036896
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56014;"{""coordinates"": [-123.1495865446894, 49.26368547689542], ""type"": ""Point""}";Kitsilano;301928;49.26368547689542, -123.1495865446894
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;3 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;Yes;69943;"{""coordinates"": [-123.13575568714903, 49.279228954838835], ""type"": ""Point""}";West End;391127;49.279228954838835, -123.13575568714903
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56043;"{""coordinates"": [-123.149843567277, 49.263870822933896], ""type"": ""Point""}";Kitsilano;301933;49.263870822933896, -123.149843567277
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56026;"{""coordinates"": [-123.15001244205023, 49.26387326638011], ""type"": ""Point""}";Kitsilano;301937;49.26387326638011, -123.15001244205023
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56027;"{""coordinates"": [-123.15018229421084, 49.263876203045506], ""type"": ""Point""}";Kitsilano;301943;49.263876203045506, -123.15018229421084
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56015;"{""coordinates"": [-123.14975532344994, 49.26368819969306], ""type"": ""Point""}";Kitsilano;301934;49.26368819969306, -123.14975532344994
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56029;"{""coordinates"": [-123.14890242668753, 49.26367445091896], ""type"": ""Point""}";Kitsilano;301912;49.26367445091896, -123.14890242668753
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53725;"{""coordinates"": [-123.10531669763363, 49.26292607316422], ""type"": ""Point""}";Mount Pleasant;300004;49.26292607316422, -123.10531669763363
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56044;"{""coordinates"": [-123.15001244205023, 49.26387326638011], ""type"": ""Point""}";Kitsilano;301939;49.26387326638011, -123.15001244205023
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;No Time Limit;No;56976;"{""coordinates"": [-123.10732293301233, 49.26297125397532], ""type"": ""Point""}";Mount Pleasant;300108;49.26297125397532, -123.10732293301233
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;No Time Limit;No;56996;"{""coordinates"": [-123.10780555780178, 49.262984945132956], ""type"": ""Point""}";Mount Pleasant;300118;49.262984945132956, -123.10780555780178
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;No Time Limit;No;56970;"{""coordinates"": [-123.10748009791611, 49.26297628012535], ""type"": ""Point""}";Mount Pleasant;300112;49.26297628012535, -123.10748009791611
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53290;"{""coordinates"": [-123.10549153453019, 49.26292969165245], ""type"": ""Point""}";Mount Pleasant;300008;49.26292969165245, -123.10549153453019
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;54429;"{""coordinates"": [-123.10653932602445, 49.262954456530565], ""type"": ""Point""}";Mount Pleasant;300034;49.262954456530565, -123.10653932602445
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56773;"{""coordinates"": [-123.10446636120379, 49.26290849490713], ""type"": ""Point""}";Mount Pleasant;310010;49.26290849490713, -123.10446636120379
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56284;"{""coordinates"": [-123.11022660214101, 49.26304085978826], ""type"": ""Point""}";Mount Pleasant;300214;49.26304085978826, -123.11022660214101
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56414;"{""coordinates"": [-123.11038943864929, 49.26304347484972], ""type"": ""Point""}";Mount Pleasant;300218;49.26304347484972, -123.11038943864929
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56688;"{""coordinates"": [-123.11054897765489, 49.263046605563574], ""type"": ""Point""}";Mount Pleasant;300222;49.263046605563574, -123.11054897765489
Single;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56086;"{""coordinates"": [-123.15060617952382, 49.263988703064165], ""type"": ""Point""}";Kitsilano;922417;49.263988703064165, -123.15060617952382
Pay Station;$5.00;$4.00;$5.00;$4.00;$5.00;$4.00;$2.50;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;67202;"{""coordinates"": [-123.10285588833253, 49.28240882579204], ""type"": ""Point""}";Downtown;050027;49.28240882579204, -123.10285588833253
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;54613;"{""coordinates"": [-123.16049295825202, 49.234583033697625], ""type"": ""Point""}";Kerrisdale;K12308;49.234583033697625, -123.16049295825202
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;3 Hr;4 Hr;3 Hr;4 Hr;;No;54406;"{""coordinates"": [-123.13810629524335, 49.266244315353916], ""type"": ""Point""}";Fairview;B61437;49.266244315353916, -123.13810629524335
Single;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52231;"{""coordinates"": [-123.14453186519847, 49.26550091841297], ""type"": ""Point""}";Fairview;B71725;49.26550091841297, -123.14453186519847
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56189;"{""coordinates"": [-123.10397261202766, 49.26307473093545], ""type"": ""Point""}";Mount Pleasant;310017;49.26307473093545, -123.10397261202766
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;56183;"{""coordinates"": [-123.10379486046949, 49.26307090587739], ""type"": ""Point""}";Mount Pleasant;310021;49.26307090587739, -123.10379486046949
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51529;"{""coordinates"": [-123.13168129250896, 49.26339938287385], ""type"": ""Point""}";Fairview;301202;49.26339938287385, -123.13168129250896
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51994;"{""coordinates"": [-123.13185328950858, 49.263403603368104], ""type"": ""Point""}";Fairview;301208;49.263403603368104, -123.13185328950858
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50042;"{""coordinates"": [-123.13202983045564, 49.26340574951624], ""type"": ""Point""}";Fairview;301210;49.26340574951624, -123.13202983045564
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53030;"{""coordinates"": [-123.1329149367691, 49.263420125502364], ""type"": ""Point""}";Fairview;301232;49.263420125502364, -123.1329149367691
Twin;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;51586;"{""coordinates"": [-123.13403374134742, 49.263616718609775], ""type"": ""Point""}";Fairview;301303;49.263616718609775, -123.13403374134742
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;50232;"{""coordinates"": [-123.14419729267014, 49.26549557951606], ""type"": ""Point""}";Fairview;B71717;49.26549557951606, -123.14419729267014
Pay Station;$4.00;$1.00;$4.00;$1.00;$4.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;53649;"{""coordinates"": [-123.15290600934303, 49.23361500104492], ""type"": ""Point""}";Kerrisdale;K22013;49.23361500104492, -123.15290600934303
Pay Station;$2.00;$1.00;$2.00;$1.00;$2.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52719;"{""coordinates"": [-123.15376197461947, 49.2344739911664], ""type"": ""Point""}";Kerrisdale;K12036;49.2344739911664, -123.15376197461947
Pay Station;$3.00;$1.00;$3.00;$1.00;$3.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;52928;"{""coordinates"": [-123.15898805885654, 49.234564965247756], ""type"": ""Point""}";Kerrisdale;K12206;49.234564965247756, -123.15898805885654
Pay Station;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;Yes;50649;"{""coordinates"": [-123.15557698746379, 49.2370120002216], ""type"": ""Point""}";Arbutus Ridge;935407;49.2370120002216, -123.15557698746379
Twin;$1.00;$1.00;$1.00;$1.00;$1.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;52149;"{""coordinates"": [-123.14463711074988, 49.26539239449199], ""type"": ""Point""}";Fairview;B71714;49.26539239449199, -123.14463711074988
Twin;$5.00;$1.00;$5.00;$1.00;$5.00;$1.00;;METER IN EFFECT: 9:00 AM TO 10:00 PM;2 Hr;4 Hr;2 Hr;4 Hr;2 Hr;4 Hr;;No;53605;"{""coordinates"": [-123.11831681983332, 49.263365141354114], ""type"": ""Point""}";Fairview;300611;49.263365141354114, -123.11831681983332
